"teamName","scoreHome","scoreAway","completions","throwingAttempts","hucksCompleted","hucksAttempted","blocks","turnovers","oLineScores","oLinePoints","oLinePossessions","dLineScores","dLinePoints","dLinePossessions","redZoneScores","redZonePossessions","gameID","teamID"
"All-Stars",24,42,241,262,22,33,18,21,17,23,31,14,34,21,15,17,"2022-11-12-allstar-game","allstars1"
"All-Stars",24,42,264,294,16,31,12,30,19,34,41,4,23,12,12,14,"2022-11-12-allstar-game","allstars2"
"Union",22,14,204,221,4,8,4,17,12,23,26,2,16,5,9,12,"2022-08-27-CHI-NY","union"
"Empire",22,14,250,258,9,12,9,8,14,16,19,8,23,12,10,12,"2022-08-27-CHI-NY","empire"
"Union",14,19,304,318,10,14,7,14,11,16,20,8,21,14,10,12,"2022-08-26-CHI-COL","union"
"Summit",14,19,213,232,5,10,7,19,11,21,26,3,16,7,9,15,"2022-08-26-CHI-COL","summit"
"Flyers",22,16,221,238,10,16,6,17,15,23,28,1,18,5,7,12,"2022-08-26-CAR-NY","flyers"
"Empire",22,16,260,271,4,8,8,11,15,18,22,7,23,12,17,20,"2022-08-26-CAR-NY","empire"
"Wind Chill",21,16,223,246,8,17,8,23,13,22,33,3,17,5,10,15,"2022-08-21-MIN-CHI","windchill"
"Union",21,16,304,322,4,11,15,18,13,17,19,8,22,21,12,14,"2022-08-21-MIN-CHI","union"
"Shred",26,21,283,299,8,14,5,16,18,28,33,3,22,5,9,10,"2022-08-20-SLC-COL","shred"
"Summit",26,21,238,249,12,17,6,11,17,22,24,9,28,14,16,18,"2022-08-20-SLC-COL","summit"
"Breeze",19,18,255,268,6,8,9,13,15,20,22,3,19,9,11,12,"2022-08-20-DC-NY","breeze"
"Empire",19,18,268,280,4,8,6,12,15,19,25,4,20,6,13,17,"2022-08-20-DC-NY","empire"
"Sol",22,20,257,271,5,7,10,14,17,24,26,3,22,8,11,14,"2022-08-20-ATX-CAR","sol"
"Flyers",22,20,248,260,6,10,6,12,17,22,27,5,24,8,16,19,"2022-08-20-ATX-CAR","flyers"
"Growlers",19,16,265,293,5,13,10,28,10,21,35,6,18,10,11,19,"2022-08-13-SD-SLC","growlers"
"Shred",19,16,207,232,8,13,17,25,10,18,21,9,21,24,8,10,"2022-08-13-SD-SLC","shred"
"Phoenix",23,18,225,239,11,16,4,14,17,25,28,1,20,5,10,13,"2022-08-13-PHI-DC","phoenix"
"Breeze",23,18,288,296,3,6,9,8,18,20,24,5,25,8,18,20,"2022-08-13-PHI-DC","breeze"
"AlleyCats",20,18,248,263,6,11,4,15,15,22,25,3,20,9,11,14,"2022-08-13-IND-MIN","alleycats"
"Wind Chill",20,18,247,258,4,6,4,11,13,19,21,7,22,10,13,16,"2022-08-13-IND-MIN","windchill"
"Mechanix",28,9,147,187,5,16,8,40,8,27,38,1,11,11,4,8,"2022-07-31-DET-MIN","mechanix"
"Wind Chill",28,9,302,325,4,9,17,23,10,11,21,18,28,30,18,24,"2022-07-31-DET-MIN","windchill"
"Cannons",24,16,222,251,4,4,6,29,11,25,35,5,18,10,12,20,"2022-07-30-TB-DAL","cannons"
"Legion",24,16,166,187,12,19,12,21,13,18,23,11,24,22,11,14,"2022-07-30-TB-DAL","legion"
"Nitro",34,18,264,288,10,18,4,24,17,35,39,1,20,4,6,9,"2022-07-30-POR-COL","nitro"
"Summit",34,18,252,260,13,13,13,8,17,20,23,17,35,21,23,26,"2022-07-30-POR-COL","summit"
"Outlaws",25,19,276,296,9,12,9,20,18,27,32,1,21,8,9,11,"2022-07-30-OTT-PHI","outlaws"
"Phoenix",25,19,250,265,9,13,8,15,18,21,28,7,27,12,13,14,"2022-07-30-OTT-PHI","phoenix"
"Spiders",24,18,303,319,4,10,3,16,14,26,30,4,20,4,14,17,"2022-07-30-OAK-SD","spiders"
"Growlers",24,18,240,250,6,8,9,10,16,20,20,8,26,15,8,9,"2022-07-30-OAK-SD","growlers"
"AlleyCats",23,21,275,292,9,16,6,17,14,25,28,7,22,11,12,16,"2022-07-30-IND-ATL","alleycats"
"Hustle",23,21,241,255,11,15,12,14,13,22,25,10,25,14,13,17,"2022-07-30-IND-ATL","hustle"
"Mechanix",33,18,242,266,9,14,3,24,17,35,39,1,20,3,10,13,"2022-07-30-DET-CHI","mechanix"
"Union",33,18,266,273,9,11,12,7,18,20,22,15,35,19,14,15,"2022-07-30-DET-CHI","union"
"Cannons",30,10,134,177,4,6,10,43,8,31,45,2,12,8,6,11,"2022-07-29-TB-ATX","cannons"
"Sol",30,10,264,287,9,17,20,23,8,12,17,22,31,36,23,27,"2022-07-29-TB-ATX","sol"
"Nitro",32,16,272,310,10,19,5,38,16,34,50,0,18,6,6,7,"2022-07-29-POR-SLC","nitro"
"Shred",32,16,284,306,12,17,18,22,16,18,23,16,34,33,19,30,"2022-07-29-POR-SLC","shred"
"Outlaws",24,17,206,225,9,12,6,19,14,26,33,3,19,5,8,15,"2022-07-29-OTT-DC","outlaws"
"Breeze",24,17,296,308,5,8,11,12,16,19,21,8,26,17,18,21,"2022-07-29-OTT-DC","breeze"
"Spiders",25,24,318,334,6,10,5,16,19,27,32,5,26,8,18,23,"2022-07-29-OAK-LA","spiders"
"Aviators",25,24,276,292,5,10,3,16,18,26,29,7,27,13,23,24,"2022-07-29-OAK-LA","aviators"
"Union",15,21,338,356,0,2,9,18,14,17,21,7,22,18,18,20,"2022-07-29-CHI-MAD","union"
"Radicals",15,21,172,194,7,11,13,22,12,22,30,2,17,6,8,12,"2022-07-29-CHI-MAD","radicals"
"Growlers",18,23,248,269,6,11,11,21,16,18,25,7,25,19,18,20,"2022-07-24-SD-POR","growlers"
"Nitro",18,23,274,300,6,10,7,26,15,25,36,2,18,9,7,15,"2022-07-24-SD-POR","nitro"
"Growlers",18,22,294,311,4,5,10,17,14,19,23,8,23,16,14,16,"2022-07-23-SD-SEA","growlers"
"Cascades",18,22,257,279,7,17,9,22,13,23,31,5,19,9,9,12,"2022-07-23-SD-SEA","cascades"
"Wind Chill",21,24,248,261,9,14,10,13,17,23,24,7,26,14,16,18,"2022-07-23-MIN-IND","windchill"
"AlleyCats",21,24,292,309,6,12,7,17,17,26,33,4,23,5,15,20,"2022-07-23-MIN-IND","alleycats"
"Aviators",22,18,260,281,5,7,7,21,14,24,31,4,19,8,14,23,"2022-07-23-LA-OAK","aviators"
"Spiders",22,18,265,282,9,14,12,17,13,19,23,9,24,17,12,14,"2022-07-23-LA-OAK","spiders"
"Breeze",21,23,284,307,8,16,17,23,17,23,34,6,25,13,13,19,"2022-07-23-DC-BOS","breeze"
"Glory",21,23,255,282,6,18,11,27,16,25,31,5,23,17,13,16,"2022-07-23-DC-BOS","glory"
"Legion",17,15,157,178,11,14,10,21,10,18,25,5,17,11,8,11,"2022-07-23-DAL-TB","legion"
"Cannons",17,15,274,294,3,5,13,20,10,17,23,7,18,15,12,16,"2022-07-23-DAL-TB","cannons"
"Union",17,25,227,237,9,12,6,10,15,19,19,10,27,16,13,15,"2022-07-23-CHI-PIT","union"
"Thunderbirds",17,25,241,258,9,12,6,17,14,27,32,3,19,4,7,13,"2022-07-23-CHI-PIT","thunderbirds"
"Empire",19,24,279,294,10,16,11,15,17,21,23,6,26,15,14,17,"2022-07-22-NY-PHI","empire"
"Phoenix",19,24,205,226,11,19,10,21,17,26,35,2,21,6,9,12,"2022-07-22-NY-PHI","phoenix"
"Aviators",19,16,243,266,5,11,8,23,13,21,31,3,17,9,11,15,"2022-07-22-LA-SLC","aviators"
"Shred",19,16,237,256,9,11,11,19,14,17,23,5,21,17,12,20,"2022-07-22-LA-SLC","shred"
"Legion",27,20,256,275,9,16,6,19,17,29,33,3,22,6,12,17,"2022-07-22-DAL-ATL","legion"
"Hustle",27,20,255,265,11,12,14,10,18,22,25,9,29,14,14,18,"2022-07-22-DAL-ATL","hustle"
"Shred",19,22,240,264,6,12,13,24,15,21,30,7,24,17,14,16,"2022-07-16-SLC-OAK","shred"
"Spiders",19,22,311,338,8,12,16,27,14,24,33,5,21,14,10,13,"2022-07-16-SLC-OAK","spiders"
"Phoenix",23,25,264,281,13,21,8,17,18,25,31,6,26,11,13,17,"2022-07-16-PHI-TOR","phoenix"
"Rush",23,25,226,244,15,22,7,18,20,26,31,3,25,11,11,12,"2022-07-16-PHI-TOR","rush"
"Radicals",18,25,292,303,5,7,12,11,14,19,23,11,27,13,18,21,"2022-07-16-MAD-DET","radicals"
"Mechanix",18,25,249,269,6,12,2,20,13,27,29,5,19,9,12,14,"2022-07-16-MAD-DET","mechanix"
"Breeze",17,24,253,270,5,10,14,17,16,19,26,8,26,16,15,18,"2022-07-16-DC-OTT","breeze"
"Outlaws",17,24,247,271,6,14,7,24,16,26,33,1,19,8,11,14,"2022-07-16-DC-OTT","outlaws"
"Legion",26,22,239,261,6,14,11,22,17,27,34,5,24,10,16,20,"2022-07-16-DAL-ATX","legion"
"Sol",26,22,285,303,7,12,12,18,18,24,29,8,27,15,18,22,"2022-07-16-DAL-ATX","sol"
"Summit",21,27,265,279,11,16,11,14,19,22,26,8,29,15,18,20,"2022-07-16-COL-LA","summit"
"Aviators",21,27,251,271,9,12,11,20,18,29,34,3,22,7,15,18,"2022-07-16-COL-LA","aviators"
"Union",25,27,254,267,10,12,5,13,22,27,29,5,29,11,17,19,"2022-07-16-CHI-MIN","union"
"Wind Chill",25,27,235,249,9,13,7,14,21,29,34,4,27,6,15,16,"2022-07-16-CHI-MIN","windchill"
"Flyers",22,27,303,311,12,15,10,8,21,24,25,6,29,10,14,15,"2022-07-16-CAR-PIT","flyers"
"Thunderbirds",22,27,288,301,8,13,5,13,21,29,33,1,24,3,16,16,"2022-07-16-CAR-PIT","thunderbirds"
"Hustle",17,26,216,226,6,7,7,10,15,18,19,11,28,20,17,18,"2022-07-16-ATL-TB","hustle"
"Cannons",17,26,186,207,6,9,5,21,15,27,34,2,19,3,9,11,"2022-07-16-ATL-TB","cannons"
"AlleyCats",17,19,327,339,5,8,8,12,12,19,21,7,19,9,10,14,"2022-07-15-IND-MAD","alleycats"
"Radicals",17,19,222,236,6,12,7,14,11,19,21,6,19,10,13,17,"2022-07-15-IND-MAD","radicals"
"Breeze",14,24,229,239,9,13,12,10,14,16,20,10,25,15,18,19,"2022-07-15-DC-MTL","breeze"
"Royal",14,24,253,274,4,11,2,21,12,25,29,2,16,6,10,12,"2022-07-15-DC-MTL","royal"
"Summit",23,20,280,294,10,13,8,14,18,24,27,2,22,7,11,17,"2022-07-15-COL-SD","summit"
"Growlers",23,20,264,275,8,11,11,11,18,22,27,5,24,8,12,13,"2022-07-15-COL-SD","growlers"
"Wind Chill",21,18,283,302,5,12,8,19,14,22,29,4,20,8,12,16,"2022-07-10-MIN-MAD","windchill"
"Radicals",21,18,236,251,6,10,10,15,16,20,24,5,22,12,13,18,"2022-07-10-MIN-MAD","radicals"
"Cannons",20,11,193,222,6,13,10,29,9,22,32,2,13,8,6,10,"2022-07-09-TB-CAR","cannons"
"Flyers",20,11,232,250,1,8,13,18,10,13,18,10,22,21,15,18,"2022-07-09-TB-CAR","flyers"
"Shred",14,28,208,227,5,8,23,19,13,16,21,15,29,27,21,27,"2022-07-09-SLC-POR","shred"
"Nitro",14,28,276,309,8,15,11,33,13,29,40,1,16,7,8,15,"2022-07-09-SLC-POR","nitro"
"AlleyCats",23,15,208,232,5,7,7,24,10,23,29,5,17,11,9,16,"2022-07-09-IND-CHI","alleycats"
"Union",23,15,239,256,10,14,10,17,11,17,23,12,23,18,12,14,"2022-07-09-IND-CHI","union"
"Mechanix",22,19,241,259,10,11,6,18,13,24,28,6,21,10,7,12,"2022-07-09-DET-PIT","mechanix"
"Thunderbirds",22,19,266,282,9,14,9,16,13,21,24,9,24,14,15,20,"2022-07-09-DET-PIT","thunderbirds"
"Glory",32,18,206,230,9,15,5,24,15,34,36,3,20,6,9,14,"2022-07-09-BOS-NY","glory"
"Empire",32,18,272,281,10,10,14,9,16,20,23,16,34,18,19,21,"2022-07-09-BOS-NY","empire"
"Hustle",18,17,145,162,9,14,11,17,12,20,25,5,18,11,11,16,"2022-07-09-ATL-ATX","hustle"
"Sol",18,17,323,339,7,10,8,16,12,18,23,6,20,11,14,22,"2022-07-09-ATL-ATX","sol"
"Shred",24,25,246,269,6,9,13,23,19,26,33,6,27,17,18,23,"2022-07-08-SLC-SEA","shred"
"Cascades",24,25,264,290,8,16,15,26,18,27,37,6,26,13,11,12,"2022-07-08-SLC-SEA","cascades"
"Phoenix",25,24,296,312,8,11,8,16,19,27,28,5,25,12,16,18,"2022-07-08-PHI-DC","phoenix"
"Breeze",25,24,255,269,7,12,6,14,18,25,32,7,27,8,16,19,"2022-07-08-PHI-DC","breeze"
"Hustle",14,17,235,252,4,9,13,17,12,17,25,5,19,12,10,14,"2022-07-08-ATL-DAL","hustle"
"Legion",14,17,275,297,8,14,10,22,11,19,25,3,17,11,8,11,"2022-07-08-ATL-DAL","legion"
"Outlaws",20,23,284,295,5,7,6,11,18,22,25,5,23,10,15,17,"2022-07-07-OTT-MTL","outlaws"
"Royal",20,23,209,222,9,10,6,13,17,24,27,3,22,6,7,11,"2022-07-07-OTT-MTL","royal"
"Rush",20,21,182,210,14,20,12,28,15,22,36,6,22,15,4,10,"2022-07-02-TOR-OTT","rush"
"Outlaws",20,21,208,236,7,13,14,28,14,22,29,5,22,19,9,14,"2022-07-02-TOR-OTT","outlaws"
"Thunderbirds",28,26,269,283,12,14,4,14,19,30,31,7,28,9,15,18,"2022-07-02-PIT-IND","thunderbirds"
"AlleyCats",28,26,280,292,12,15,7,12,20,28,30,8,30,11,11,13,"2022-07-02-PIT-IND","alleycats"
"Royal",23,16,222,247,9,15,12,25,10,25,33,6,18,10,8,13,"2022-07-02-MTL-BOS","royal"
"Glory",23,16,252,272,7,15,12,20,12,18,22,11,25,22,17,21,"2022-07-02-MTL-BOS","glory"
"Wind Chill",19,33,235,249,9,11,13,14,19,21,27,14,33,21,16,17,"2022-07-02-MIN-DET","windchill"
"Mechanix",19,33,222,249,10,16,9,27,18,33,40,1,21,7,8,13,"2022-07-02-MIN-DET","mechanix"
"Aviators",24,15,266,286,7,11,4,20,12,25,30,3,16,5,10,17,"2022-07-02-LA-COL","aviators"
"Summit",24,15,247,257,9,14,9,10,13,16,18,11,25,17,14,18,"2022-07-02-LA-COL","summit"
"Breeze",21,22,308,322,6,7,8,14,16,23,25,6,23,11,15,19,"2022-07-02-DC-PHI","breeze"
"Phoenix",21,22,241,256,8,18,5,15,15,23,28,6,23,9,11,13,"2022-07-02-DC-PHI","phoenix"
"Sol",16,26,261,278,9,13,11,17,15,18,25,11,28,19,19,21,"2022-07-02-ATX-DAL","sol"
"Legion",16,26,191,219,8,14,9,28,15,28,36,1,18,8,8,14,"2022-07-02-ATX-DAL","legion"
"Hustle",18,16,203,222,8,14,10,19,14,19,26,2,18,9,7,12,"2022-07-02-ATL-CAR","hustle"
"Flyers",18,16,331,349,6,12,9,18,15,18,25,3,19,12,11,16,"2022-07-02-ATL-CAR","flyers"
"Royal",29,14,225,251,5,9,5,26,12,31,37,2,16,6,9,14,"2022-07-01-MTL-NY","royal"
"Empire",29,14,246,259,6,11,13,13,13,16,20,16,31,22,21,21,"2022-07-01-MTL-NY","empire"
"Wind Chill",22,25,251,264,3,7,9,13,20,24,28,5,26,10,20,21,"2022-07-01-MIN-CHI","windchill"
"Union",22,25,285,301,8,11,7,16,20,26,31,2,24,7,14,16,"2022-07-01-MIN-CHI","union"
"Spiders",21,36,345,357,11,14,13,12,21,23,27,15,38,21,19,19,"2022-06-26-OAK-POR","spiders"
"Nitro",21,36,221,249,9,9,8,28,19,37,43,2,23,6,12,16,"2022-06-26-OAK-POR","nitro"
"Growlers",27,21,263,281,8,14,6,18,19,29,36,2,23,3,6,7,"2022-06-25-SD-COL","growlers"
"Summit",27,21,260,272,9,14,8,12,19,23,24,8,29,15,21,24,"2022-06-25-SD-COL","summit"
"Spiders",17,22,269,289,2,3,9,20,15,19,29,7,23,14,20,26,"2022-06-25-OAK-SEA","spiders"
"Cascades",17,22,199,225,7,15,13,26,14,23,30,3,19,13,7,11,"2022-06-25-OAK-SEA","cascades"
"Radicals",22,11,190,232,4,11,10,42,8,23,38,3,13,15,7,18,"2022-06-25-MAD-MIN","radicals"
"Wind Chill",22,11,300,331,4,10,16,31,9,13,24,12,23,29,19,24,"2022-06-25-MAD-MIN","windchill"
"Legion",26,20,190,210,13,19,4,20,16,28,33,4,21,7,12,15,"2022-06-25-DAL-ATX","legion"
"Sol",26,20,263,277,6,12,10,14,15,21,24,11,28,16,16,18,"2022-06-25-DAL-ATX","sol"
"Union",23,24,252,263,8,12,5,11,15,24,26,9,26,11,13,16,"2022-06-25-CHI-IND","union"
"AlleyCats",23,24,273,287,9,13,8,14,16,26,28,7,24,9,12,17,"2022-06-25-CHI-IND","alleycats"
"Flyers",15,23,229,251,9,16,10,22,13,17,24,10,25,21,17,22,"2022-06-25-CAR-TB","flyers"
"Cannons",15,23,216,245,6,6,14,29,13,25,36,2,17,9,5,8,"2022-06-25-CAR-TB","cannons"
"Glory",25,23,201,219,10,12,8,18,20,27,31,3,25,11,4,5,"2022-06-25-BOS-TOR","glory"
"Rush",25,23,272,287,8,10,9,15,20,25,33,5,27,9,9,13,"2022-06-25-BOS-TOR","rush"
"Growlers",23,18,265,296,5,9,10,31,14,25,38,4,20,11,12,15,"2022-06-24-SD-SLC","growlers"
"Shred",23,18,190,214,13,17,12,24,13,20,26,10,25,23,11,16,"2022-06-24-SD-SLC","shred"
"Rush",26,16,231,261,4,12,13,30,14,28,38,2,18,8,10,15,"2022-06-18-TOR-DC","rush"
"Breeze",26,16,276,295,8,13,19,19,14,18,24,11,28,22,16,22,"2022-06-18-TOR-DC","breeze"
"Cascades",22,14,238,263,8,19,6,25,12,24,34,2,15,5,5,11,"2022-06-18-SEA-COL","cascades"
"Summit",22,14,236,252,10,16,14,16,12,15,18,10,24,21,14,19,"2022-06-18-SEA-COL","summit"
"Growlers",19,20,299,314,9,10,10,15,18,21,24,2,20,11,9,14,"2022-06-18-SD-LA","growlers"
"Aviators",19,20,258,273,7,10,6,15,17,20,29,2,21,6,12,16,"2022-06-18-SD-LA","aviators"
"Outlaws",21,15,235,257,5,10,9,22,13,23,30,2,17,10,8,12,"2022-06-18-OTT-NY","outlaws"
"Empire",21,15,258,275,5,7,11,17,13,17,24,8,23,15,15,21,"2022-06-18-OTT-NY","empire"
"Mechanix",24,21,243,268,10,14,10,25,15,24,33,6,23,13,11,13,"2022-06-18-DET-PIT","mechanix"
"Thunderbirds",24,21,249,273,7,14,16,24,16,23,31,7,24,16,16,23,"2022-06-18-DET-PIT","thunderbirds"
"Sol",18,19,298,315,5,9,7,17,14,20,26,5,20,10,15,19,"2022-06-18-ATX-MAD","sol"
"Radicals",18,19,204,221,5,6,5,17,12,20,24,6,20,12,8,11,"2022-06-18-ATX-MAD","radicals"
"Rush",18,14,231,257,2,6,11,26,12,20,26,1,16,13,9,15,"2022-06-17-TOR-PHI","rush"
"Phoenix",18,14,255,276,11,18,15,21,12,16,27,6,20,13,9,10,"2022-06-17-TOR-PHI","phoenix"
"Cascades",20,19,319,344,4,9,10,25,15,23,32,4,20,12,12,14,"2022-06-17-SEA-OAK","cascades"
"Spiders",20,19,255,280,8,11,10,25,13,20,29,7,23,16,9,15,"2022-06-17-SEA-OAK","spiders"
"Outlaws",19,18,238,262,6,12,14,24,14,20,31,4,19,12,13,15,"2022-06-17-OTT-BOS","outlaws"
"Glory",19,18,244,268,9,16,11,24,13,19,27,6,20,17,11,17,"2022-06-17-OTT-BOS","glory"
"Flyers",18,22,338,351,10,13,11,13,15,20,28,7,23,8,13,16,"2022-06-17-CAR-ATL","flyers"
"Hustle",18,22,246,262,9,10,6,16,16,23,24,2,20,10,10,13,"2022-06-17-CAR-ATL","hustle"
"Sol",24,21,259,278,12,19,9,19,16,26,29,5,23,12,14,18,"2022-06-17-ATX-CHI","sol"
"Union",24,21,211,226,10,13,10,15,17,23,29,7,26,11,13,18,"2022-06-17-ATX-CHI","union"
"Rush",20,21,270,285,9,11,14,15,15,21,27,6,22,10,14,20,"2022-06-11-TOR-MTL","rush"
"Royal",20,21,197,214,6,10,6,17,16,22,26,4,21,11,17,23,"2022-06-11-TOR-MTL","royal"
"Cannons",23,18,254,277,11,21,3,23,13,25,29,5,20,12,10,13,"2022-06-11-TB-ATL","cannons"
"Hustle",23,18,225,241,7,7,13,16,12,20,25,11,25,15,16,22,"2022-06-11-TB-ATL","hustle"
"Nitro",20,18,236,255,7,13,11,19,14,22,29,4,20,10,15,17,"2022-06-11-POR-SD","nitro"
"Growlers",20,18,271,288,4,4,12,17,14,20,24,6,22,14,13,15,"2022-06-11-POR-SD","growlers"
"Thunderbirds",20,14,267,293,5,11,8,26,10,22,33,4,16,9,9,18,"2022-06-11-PIT-MIN","thunderbirds"
"Wind Chill",20,14,255,276,5,9,12,21,10,16,20,10,22,22,16,23,"2022-06-11-PIT-MIN","windchill"
"Mechanix",32,18,249,270,11,15,2,21,16,33,35,2,19,5,3,5,"2022-06-11-DET-IND","mechanix"
"AlleyCats",32,18,276,283,8,10,13,7,17,19,22,15,33,17,16,19,"2022-06-11-DET-IND","alleycats"
"Legion",23,15,233,257,7,15,6,24,14,25,31,1,17,8,4,5,"2022-06-11-DAL-CAR","legion"
"Flyers",23,15,243,258,8,14,11,15,16,17,25,7,25,14,16,18,"2022-06-11-DAL-CAR","flyers"
"Summit",24,29,223,234,9,13,9,11,20,26,31,9,30,11,18,21,"2022-06-11-COL-OAK","summit"
"Spiders",24,29,272,288,7,12,4,16,20,30,31,4,26,9,12,14,"2022-06-11-COL-OAK","spiders"
"Nitro",17,16,201,224,1,9,13,23,13,19,26,3,18,13,12,16,"2022-06-10-POR-LA","nitro"
"Aviators",17,16,298,321,7,13,14,23,12,18,28,5,19,13,9,14,"2022-06-10-POR-LA","aviators"
"Radicals",22,21,290,308,5,11,7,18,17,24,34,4,23,5,14,17,"2022-06-10-MAD-CHI","radicals"
"Union",22,21,230,245,7,10,10,15,19,23,24,3,24,13,14,18,"2022-06-10-MAD-CHI","union"
"Breeze",25,21,249,264,4,7,7,15,17,27,30,4,23,7,17,19,"2022-06-10-DC-NY","breeze"
"Empire",25,21,260,271,5,9,9,11,17,23,25,8,27,12,17,18,"2022-06-10-DC-NY","empire"
"Summit",20,25,237,251,17,19,8,14,14,22,25,11,27,15,13,20,"2022-06-10-COL-SLC","summit"
"Shred",20,25,247,267,10,14,7,20,15,27,31,5,22,9,9,15,"2022-06-10-COL-SLC","shred"
"Aviators",23,14,250,281,3,12,8,31,13,24,31,1,16,14,11,16,"2022-06-05-LA-SEA","aviators"
"Cascades",23,14,207,228,10,15,20,21,13,16,28,10,24,17,17,22,"2022-06-05-LA-SEA","cascades"
"Spiders",22,16,281,304,10,18,8,23,14,24,30,2,17,10,10,14,"2022-06-04-OAK-COL","spiders"
"Summit",22,16,173,190,10,16,14,17,13,17,24,9,24,16,13,21,"2022-06-04-OAK-COL","summit"
"Empire",8,25,242,256,7,11,13,14,10,10,12,15,26,27,17,19,"2022-06-04-NY-TOR","empire"
"Rush",8,25,216,244,3,8,6,28,8,26,37,0,10,2,3,7,"2022-06-04-NY-TOR","rush"
"Aviators",20,21,270,286,4,7,6,16,14,21,29,6,23,8,16,20,"2022-06-04-LA-POR","aviators"
"Nitro",20,21,207,224,13,18,9,17,16,23,25,4,21,14,11,12,"2022-06-04-LA-POR","nitro"
"AlleyCats",28,13,284,312,6,8,5,28,12,30,33,1,15,7,8,9,"2022-06-04-IND-MIN","alleycats"
"Wind Chill",28,13,274,286,9,12,18,12,12,15,20,16,29,21,21,27,"2022-06-04-IND-MIN","windchill"
"Union",20,28,195,213,9,11,16,18,20,22,29,8,30,17,16,20,"2022-06-04-CHI-DET","union"
"Mechanix",20,28,257,285,5,11,11,28,18,30,39,2,22,9,13,15,"2022-06-04-CHI-DET","mechanix"
"Flyers",21,20,270,280,6,8,6,10,17,23,24,3,21,6,12,14,"2022-06-04-CAR-ATX","flyers"
"Sol",21,20,217,226,11,12,5,9,17,21,24,4,23,6,15,15,"2022-06-04-CAR-ATX","sol"
"Glory",24,22,250,271,9,18,9,21,17,25,33,5,24,10,10,12,"2022-06-04-BOS-PHI","glory"
"Phoenix",24,22,263,282,9,16,11,19,18,24,29,6,25,15,16,18,"2022-06-04-BOS-PHI","phoenix"
"Hustle",16,18,171,197,7,13,23,26,13,18,26,4,20,18,13,16,"2022-06-04-ATL-TB","hustle"
"Cannons",16,18,230,259,8,12,10,29,13,20,35,3,18,11,7,9,"2022-06-04-ATL-TB","cannons"
"Spiders",30,21,249,276,9,21,7,27,17,31,37,4,23,12,14,17,"2022-06-03-OAK-SLC","spiders"
"Shred",30,21,221,239,5,10,11,18,19,23,31,11,31,17,22,23,"2022-06-03-OAK-SLC","shred"
"Radicals",19,20,250,267,5,11,12,17,14,21,25,6,22,12,13,16,"2022-06-03-MAD-PIT","radicals"
"Thunderbirds",19,20,337,353,6,8,9,16,15,22,28,4,21,8,11,15,"2022-06-03-MAD-PIT","thunderbirds"
"Flyers",18,26,270,279,13,18,11,9,18,20,22,8,27,14,15,15,"2022-06-03-CAR-DAL","flyers"
"Legion",18,26,237,255,7,10,5,18,18,27,33,0,20,3,12,14,"2022-06-03-CAR-DAL","legion"
"Glory",25,20,275,295,3,6,9,20,16,27,33,4,22,8,15,21,"2022-06-03-BOS-DC","glory"
"Breeze",25,20,255,270,4,8,7,15,16,22,25,9,27,15,16,16,"2022-06-03-BOS-DC","breeze"
"Royal",21,24,239,252,8,15,9,13,16,20,21,7,26,15,14,17,"2022-06-01-MTL-OTT","royal"
"Outlaws",21,24,222,239,9,15,10,17,17,26,33,4,20,5,11,12,"2022-06-01-MTL-OTT","outlaws"
"Shred",21,20,238,260,7,17,11,22,15,22,28,5,22,14,11,14,"2022-05-28-SLC-COL","shred"
"Summit",21,20,206,226,8,16,13,20,15,22,29,6,22,13,9,13,"2022-05-28-SLC-COL","summit"
"Nitro",26,18,209,238,9,16,12,29,13,28,36,5,20,12,11,15,"2022-05-28-POR-SEA","nitro"
"Cascades",26,18,221,243,8,17,13,22,13,20,26,13,28,22,17,17,"2022-05-28-POR-SEA","cascades"
"Thunderbirds",19,24,219,234,10,14,9,15,14,20,22,10,26,17,12,14,"2022-05-28-PIT-TB","thunderbirds"
"Cannons",19,24,230,251,10,14,7,21,13,26,32,6,20,8,10,14,"2022-05-28-PIT-TB","cannons"
"Empire",18,30,285,300,12,16,14,15,17,20,20,12,32,24,18,21,"2022-05-28-NY-OTT","empire"
"Outlaws",18,30,176,202,4,9,10,26,16,32,43,2,20,3,5,9,"2022-05-28-NY-OTT","outlaws"
"Wind Chill",16,19,315,330,3,8,11,15,12,18,25,7,21,10,15,19,"2022-05-28-MIN-MAD","windchill"
"Radicals",16,19,256,274,6,13,6,18,13,21,24,3,18,10,10,14,"2022-05-28-MIN-MAD","radicals"
"AlleyCats",19,23,263,275,6,9,8,12,14,21,24,9,25,12,17,22,"2022-05-28-IND-DET","alleycats"
"Mechanix",19,23,294,310,7,12,8,16,15,25,28,4,21,7,12,14,"2022-05-28-IND-DET","mechanix"
"Breeze",26,27,304,313,8,13,5,9,21,28,31,6,29,6,13,14,"2022-05-28-DC-TOR","breeze"
"Rush",26,27,235,246,12,15,4,11,22,29,29,4,28,8,4,5,"2022-05-28-DC-TOR","rush"
"Empire",18,22,267,282,6,9,6,15,14,20,23,8,24,15,13,14,"2022-05-27-NY-MTL","empire"
"Royal",18,22,171,191,6,13,8,20,14,24,31,4,20,7,10,12,"2022-05-27-NY-MTL","royal"
"Cascades",19,18,254,270,10,10,7,16,15,20,26,3,20,8,7,9,"2022-05-22-SEA-LA","cascades"
