"teamName","scoreHome","scoreAway","completions","throwingAttempts","hucksCompleted","hucksAttempted","blocks","turnovers","oLineScores","oLinePoints","oLinePossessions","dLineScores","dLinePoints","dLinePossessions","redZoneScores","redZonePossessions","gameID","teamID"
"Riptide",23,18,208,249,NA,NA,22,41,13,25,39,5,20,21,NA,NA,"2014-06-28-VAN-SF","riptide"
"FlameThrowers",23,18,258,294,NA,NA,14,36,13,20,35,10,25,25,NA,NA,"2014-06-28-VAN-SF","flamethrowers"
"Dragons",20,29,232,258,NA,NA,8,26,18,31,39,2,22,8,NA,NA,"2014-06-28-TOR-ROC","dragons"
"Rush",20,29,346,363,NA,NA,14,17,19,22,28,10,31,20,NA,NA,"2014-06-28-TOR-ROC","rush"
"Spiders",37,12,225,240,NA,NA,21,15,13,14,18,24,39,38,NA,NA,"2014-06-28-SLC-SJ","spiders"
"Lions",37,12,365,407,NA,NA,8,42,11,39,49,1,14,5,NA,NA,"2014-06-28-SLC-SJ","lions"
"Radicals",28,9,249,281,NA,NA,30,32,8,11,21,20,30,40,NA,NA,"2014-06-28-DET-MAD","radicals"
"Mechanix",28,9,162,209,NA,NA,10,47,7,30,51,2,11,9,NA,NA,"2014-06-28-DET-MAD","mechanix"
"Breeze",20,29,276,292,NA,NA,16,16,14,22,26,15,31,23,NA,NA,"2014-06-28-DC-MTL","breeze"
"Royal",20,29,248,273,NA,NA,5,25,12,31,36,8,22,12,NA,NA,"2014-06-28-DC-MTL","royal"
"Revolution",21,11,51,91,NA,NA,14,40,10,23,44,1,13,8,NA,NA,"2014-06-28-CIN-CHI","revolution"
"Union",21,11,294,322,NA,NA,17,28,12,13,22,9,23,31,NA,NA,"2014-06-28-CIN-CHI","union"
"Wind Chill",42,16,284,299,NA,NA,30,15,15,18,22,27,44,38,NA,NA,"2014-06-27-DET-MIN","windchill"
"Mechanix",42,16,300,343,NA,NA,5,43,13,44,55,3,18,8,NA,NA,"2014-06-27-DET-MIN","mechanix"
"Revolution",29,15,96,127,NA,NA,9,31,15,31,44,0,17,3,NA,NA,"2014-06-27-CIN-IND","revolution"
"AlleyCats",29,15,235,251,NA,NA,18,16,16,17,21,13,31,27,NA,NA,"2014-06-27-CIN-IND","alleycats"
"Spiders",14,22,314,329,NA,NA,7,15,12,16,22,10,24,18,NA,NA,"2014-06-22-SJ-SEA","spiders"
"Cascades",14,22,254,278,NA,NA,8,24,12,24,31,2,16,9,NA,NA,"2014-06-22-SJ-SEA","cascades"
"Lions",25,33,347,378,NA,NA,10,31,20,35,48,4,26,8,NA,NA,"2014-06-22-SF-SLC","lions"
"FlameThrowers",25,33,44,66,NA,NA,17,22,20,27,31,13,35,28,NA,NA,"2014-06-22-SF-SLC","flamethrowers"
"Rush",29,15,269,288,NA,NA,23,19,15,17,25,14,31,26,NA,NA,"2014-06-22-PHI-TOR","rush"
"Phoenix",29,15,250,285,NA,NA,7,35,13,31,40,2,17,11,NA,NA,"2014-06-22-PHI-TOR","phoenix"
"Empire",9,25,260,283,NA,NA,17,23,7,11,19,18,27,33,NA,NA,"2014-06-22-NY-ROC","empire"
"Dragons",9,25,259,299,NA,NA,9,40,7,27,40,2,11,10,NA,NA,"2014-06-22-NY-ROC","dragons"
"Riptide",25,37,284,317,NA,NA,12,33,22,39,48,3,27,13,NA,NA,"2014-06-21-SJ-VAN","riptide"
"Spiders",25,37,247,268,NA,NA,13,21,23,27,36,14,39,24,NA,NA,"2014-06-21-SJ-VAN","spiders"
"Lions",22,31,317,347,NA,NA,10,30,18,33,41,4,24,12,NA,NA,"2014-06-21-SF-SLC","lions"
"FlameThrowers",22,31,52,72,NA,NA,14,20,18,24,32,13,33,23,NA,NA,"2014-06-21-SF-SLC","flamethrowers"
"Royal",31,19,275,291,NA,NA,16,16,14,21,23,17,33,28,NA,NA,"2014-06-21-PHI-MTL","royal"
"Phoenix",31,19,310,339,NA,NA,5,29,13,33,43,6,21,8,NA,NA,"2014-06-21-PHI-MTL","phoenix"
"Rush",21,18,286,308,NA,NA,17,22,11,20,26,10,23,20,NA,NA,"2014-06-21-NY-TOR","rush"
"Empire",21,18,230,256,NA,NA,9,26,13,23,33,5,20,14,NA,NA,"2014-06-21-NY-TOR","empire"
"Revolution",23,22,261,278,NA,NA,8,17,16,25,29,6,24,10,NA,NA,"2014-06-21-CIN-IND","revolution"
